source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Diễn Viên Hài Thu Trang,,2019-11-05 22:35:14,"Alo Alo còn ai thức hônggg Huhu 😭 Vì một vài sự cố mà tối nay chưa thể lên sóng tập 1 Duyên tiền định được. Để các bạn phải chờ rồi, mong mọi người thông cảm cho chế nha! Chế và Bắp hẹn mọi người trưa mai nhé! Đừng giận mà bỏ quên xem tập 1 Duyên tiền đinh nha mọi người ơi! Còn bây giờ thì, CHÚC CẢ NHÀ NGỦ NGON <3","9,2K","8,5K",105,538,3,6,,146 bình luậ,2810769852269158,/story.php?story_fbid=2810769852269158&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-05 15:20:07,Nhắc nhẹ 20h tối nay chúng ta có hẹn với Duyên tiền định tập đầu tiên nhé cả nhà! Ai còn nhớ chú Heo hồng Ngô Kiến Huy quá thì tối nay lên xem nè kkkk <3,"Nguyễn Quốc Trường và 5,3K người khác","4,8K",45,415,5,,,126 bình luậ,2810071322339011,/story.php?story_fbid=2810071322339011&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-05 12:00:00,"Bài tủ bài tủ nha mọi người ơi, lần này có "" Fan "" nên Chị 13 đỡ cảm thấy lẻ loi nha kkk 😜❤️","Diễn Viên Hài Thu Trang và 3,8K người khác",3K,516,230,5,2,,122 bình luậ,2798952920117518,/story.php?story_fbid=2798952920117518&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-05 09:17:40,✌ Chào nhau đi nào cả nhà ơi! Chúc mọi người một ngày tốt lành và nhiều tiếng cười nha 3 mét vuông 10 bức ảnh sống ảo kkkk sợ đăng hoài có ai chán hông 😅,"7,8K","7,3K",48,484,3,1,,139 bình luậ,2808588699153940,/story.php?story_fbid=2808588699153940&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-04 22:32:59,"Vừa hoàn thành xong 1 dự án nữa rồi, một dự án mang nhiều năng lượng tích cực . Hẹn tất cả mọi người vào những dự án khác nhé. Cám ơn mọi người trong thời gian qua rất nhiều.  Và bây giờ là về SG để xắn quần, xắn áo lên chạy dự án của riêng mình đây. Chị Mười Ba cố lên 💪🏽 P/s: Quên nữa mọi người đã xem những chương trình phát trên fanpage của chế hết chưa nè? Chưa xem thì xem đi nha. Còn xem rồi thì lan toả mấy clip của chế đi nào 😁",Diễn Viên Hài Thu Trang và 10K người khác,"9,7K",41,673,3,,1,201 bình luậ,2808638422482301,/story.php?story_fbid=2808638422482301&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-04 19:00:30,Còn ai chưa xem tập 1 chuỗi những tình huống dở khóc dở cười của 1001 CHUYỆN CÔNG SỞ không nè? 🤣 Xem đi kẻo nguội nha cả nhà ơi: http://pesc.pw/LMVVA,"3,2K","2,9K",70,178,,,,63 bình luậ,2807727842573359,/story.php?story_fbid=2807727842573359&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-04 12:07:42,Vẫn chưa hạ nhiệt nha kkk,"1,3K","1,2K",33,131,,,,75 bình luậ,2807725045906972,/story.php?story_fbid=2807725045906972&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-04 08:50:04,Chàng trai của tôi có thể cõng tôi trên lưng rồi nè. Nhớ bạn Kép nhí quá đi <3 Chúc cả nhà một tuần làm việc mới hứng khởi và vui vẻ nha! 💪,Nguyễn Quốc Trường và 14K người khác,13K,407,737,13,1,,198 bình luậ,2807456189267191,/story.php?story_fbid=2807456189267191&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-03 20:00:01,"[1001 CHUYỆN CÔNG SỞ] TẬP 1 - VỊ SẾP TỪ TRÊN TRỜI RƠI XUỐNG Những ""tuyệt chiêu"" chào đón sếp mới có 1 - 0 - 2 từ những nhân viên ưu tú độc nhất vô nhị. Liệu, người sếp mới sẽ hân hoan, hạnh phúc nhường nào trong ngày đầu ""ra mắt"" nhân viên? Một tối cuối tuần hãy cùng xem tập 1 của series 1001 CHUYỆN CÔNG SỞ nhé! 💓","3,6K","2,9K",459,199,9,3,14,67 bình luậ,2795135523832591,/story.php?story_fbid=2795135523832591&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-03 16:55:27,"Heo hồng mê nhảy nhót đã hút luôn trái tim bạn Fan nhí, khiến bạn đi theo đòi Heo hồng mãi thôi nè kkkk","4,1K","3,4K",325,355,5,1,,169 bình luậ,2805913992754744,/story.php?story_fbid=2805913992754744&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-03 13:22:53,Heo hồng cute cũng đổ mồ hôi hột nè.🥰,"1,6K","1,5K",29,137,,,,38 bình luậ,2805629812783162,/story.php?story_fbid=2805629812783162&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-03 11:11:34,"Nhẹ nhàng thả một chiếc hình, nhất định không được bỏ lỡ vào tối nay lúc 20h nhé cả nhà iu ơiii  🥳🥳🥳🥳","1,8K","1,6K",13,116,3,1,,32 bình luậ,2805201872825956,/story.php?story_fbid=2805201872825956&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-02 19:02:10,💞 Hãy cùng Chị Mười Ba Thu Trang và chàng Thái y Ngô Kiến Huy dẫn đưa bạn đi tìm nửa kia của mình trong game show DUYÊN TIỀN ĐỊNH Tập đầu tiên của Duyên Tiền Định sẽ được phát sóng độc quyền trên fanpage Diễn viên hài Thu Trang vào ngày 5/11/2019,Diễn Viên Hài Thu Trang và 670 người khác,587,11,72,1,,,31 bình luậ,2796767700336040,/story.php?story_fbid=2796767700336040&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-02 14:30:30,Hậu trường siêu đáng yêu của “Chú Heo Hồng” Ngô Kiến Huy đêm qua nha 😜❤️,"Diễn Viên Hài Thu Trang và 4,4K người khác","3,9K",85,424,4,,,156 bình luậ,2803488872997256,/story.php?story_fbid=2803488872997256&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-02 12:00:00,"ÔNG MAI BÀ MỐI của chúng ta đây rồi!!! 💘 DUYÊN TIỀN ĐỊNH - Một gameshow về tình yêu hoàn toàn mới mẻ, vô cùng hấp dẫn bởi sự dẫn dắt của 2 MC Thu Trang và Ngô Kiến Huy. 👉 Đón xem tập 1 DUYÊN TIỀN ĐỊNH sẽ được phát sóng độc quyền trên fanpage Diễn viên Hài Thu Trang ngày 5/11/2019. Đừng quên nha!!!","Diễn Viên Hài Thu Trang và 6,5K người khác","5,9K",58,528,3,1,,150 bình luậ,2798638810148929,/story.php?story_fbid=2798638810148929&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-02 09:00:01,Buổi sáng cuối tuần thật vui vẻ và ấm áp nha cả nhà ☺️❤️,Diễn Viên Hài Thu Trang và 10K người khác,10K,86,638,3,1,,195 bình luậ,2801636549849155,/story.php?story_fbid=2801636549849155&id=743558085657022,Lưu
