source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
danviet.vn,,2019-10-10 17:45:00,"Một chút hoài niệm : TÀU ĐIỆN - MỘT THỜI ĐỂ NHỚ Tâm lý con người đa phần đều có chút giống nhau .Lúc bé thường hay mơ ước : "" Sau này con sẽ làm bác sĩ , giáo viên ,chú bộ đội ,kỹ sư ...Đến tuổi trưởng thành ,sức trẻ căng tràn ,thì ta lại hay nghĩ về tương lai ,đặt ra cho mình những mục tiêu để phấn đấu .Ở lứa tuổi trung niên ,ta bắt đầu hài lòng với hiện tại những gì mình đang có .Khi về hưu ,ngoài việc tiếp cận những cái mới ,người ta lại thích cùng vài người bạn đồng trang lứa hoăc cao niên hơn ngồi bên ấm trà hoặc nhâm nhi tách cà phê nóng hổi ôn lại kỷ niệm một thời .Khi ấy ,ta cảm thấy rất vui và như được trở về với những tháng năm đã trôi xa vào dĩ vãng . Và hôm nay ,câu chuyện để chúng ta cùng hoài niệm là chiếc tàu điện . Hồi đó có 4 tuyến chính : - Chợ Mơ - Bạch Mai - Ô Cầu Dền - Phố Huế - Hàng Bài - Bờ Hồ - Hàng Đào - Chợ Đồng Xuân - Quán Thánh - Thụy Khuê - Bưởi. - Bờ Hồ - Hàng Bông - Cửa Nam - Kim Mã - Ô Cầu Giấy . - Bờ Hồ - Hàng Bông - Hàng Bột (nay là phố Tôn Đức Thắng ) - Ô Chợ Dừa - Gò Đống Đa - Hà Đông . - Yên Phụ - Hàng Than - Hàng Cót - Bát đàn - Phùng Hưng - Cửa Nam - Ga Hàng Cỏ - Công viên Thống nhất - Bệnh viện Bạch Mai - Vọng . Và chuyến tàu điện đầu tiên đã chạy trên tuyến Bờ Hồ - Thụy Khuê ngày 13 - 9 - 1900.Ga để trung chuyển 3 tuyến tàu đi qua Bờ Hồ là ở đoạn đầu phố Đinh Tiên Hoàng ( gần Quảng trường Đông kinh nghĩa thục ).Vì là thế hệ hậu sinh nên khi chúng tôi được trèo lên tàu điện đã vào những năm đầu của thập kỷ 80 .Hồi ấy phố phường còn thưa thớt lắm ,phương tiện đi lại chủ yếu là xe đạp ,xích lô ,thỉnh thoảng trên đường Hàng Bài ,Đinh Tiên Hoàng có vài chiếc Cá ươn, Hon đa đèn tròn chạy vè vè . Vì vậy ,tàu điện là phương tiện giao thông rất quan trọng của người dân Hà Nội nói chung và các bà buôn thúng ,bán mẹt nói riêng .Có bài thơ khuyết danh ra đời : ""...... Thằng Tây ngồi nghĩ cũng sành Sinh ra tàu điện chạy quanh phố phường . ............."" Mỗi khi chuyển tuyến hoặc quay đầu, bác soát vé (Sơ - vơ ) điều chỉnh chiếc cần vẹt ở đầu tàu (đầu cần được buộc một sợi dây chão và bác Sơ vơ cầm 1 đầu dây )cho bắt vào đường dây điện trên không ,tia lửa điện bắn ra xoèn xoẹt .Bác lái tàu chỉ còn việc điều chỉnh tốc độ và cho bánh xe chạy đúng đường ray .Khi qua các ngã tư tàu chạy chậm lắm và lại đổ chuông leng keng nghe rất vui tai .Với những lúc tàu chạy chậm như thế ,lũ trẻ con chúng tôi không có lấy một hào dính túi ngày chủ nhật vẫn ""chu du "" khắp các phố phường ,chợ và làng hoa của Hà Nội .Hôm nào tầu vắng ,chúng tôi ngang nhiên trèo lên ghế ngồi chễm chệ ,đến khi bác Sơ - vơ phải "" lịch sự : - Vé đâu ?Không vé ,mời các vị xuống cho nhanh .Nhảy cẩn thận kẻo ngã gãy chân ! Thế là chúng tôi nhảy ào xuống đường ,khoái chí cười như nắc nẻ .Gặp khi tàu đông ,chúng tôi bám đuôi tàu để lên chợ Hôm - Đức Viên ,Bách hóa tổng hợp (Ba - ha - Tô - hô ),vườn hoa Chí Linh ( nay là vườn hoa Lý Thái Tổ) ,dạo quanh hồ Gươm rồi trèo lên những cành lộc vừng ngả xuống mặt nước, vào hiệu sách Quốc văn đọc truyện ngắn (nhưng không mua vì k có tiền )hoặc lên chợ Đồng Xuân chơi .Vì có 4 tuyến đi các ngả nên chúng tôi tha hồ bám theo tàu rồi nhảy xuống chạy bộ vài km vào các phố ,làng hoa Ngọc Hà ,làng đậu Mơ ,làng lụa Vạn Phúc ,công viên Thủ Lệ ...Thích nhất là những hôm trốn được bác Sơ vơ (thực ra nói vậy cho oai chứ những hôm trời mưa ,tàu vắng nhìn chúng tôi quá quen nên bác thương tình chẳng buồn đuổi xuống ).Một vài đứa trong số chúng tôi rón rén chạy lên đứng sau lưng bác lái (đợi lúc bác mải xoay chiếc vô - lăng bằng đồng khi rẽ vào các phố nên không để ý )đạp trộm nút chuông ở phía dưới chân bác ,cảm giác sung sướng như vừa bắt được một thứ gì quý giá lắm .Mỗi lần tàu dừng , lại được nghe hát xẩm và nhìn những hàng chín tầng mây ,kẹo kéo ,kem que ,bỏng mật ,bi - zon - zon mời chào mà thèm rỏ dãi và ba hoa kể chuyện được ăn ""kẹo ngó "".Rồi chờ lúc các bà buôn thúng bán mẹt quang gánh xuống tàu ,chúng tôi lại thò tay nhón vài quả ổi ,quả thị ,chùm dâu gia xoan bọc vào vạt áo (ngày ấy các bà không đậy điệm cẩn thận như bây giờ ,chỉ gài vài cành lá lên trên mặt thúng nên phần quang gánh sau lưng ,các bà không thể quan sát được ).Rồi những ông bán Lơ xanh (khi giặt áo trắng người ta thả miếng lơ vào nước xả cuối -để hồ cho áo không bị ngả màu ),thuốc lào Tiên lãng ,thuốc trị mụn ,hôi nách ....vây quanh tàu như một cái chợ di động rất nhộn nhịp ,đông vui . Khi chúng tôi học cấp 3,mỗi lần đi học muộn ,vì vội vàng mà lúc rẽ từ đường Bạch Mai vào ngõ Mai Hương (nay là phố Hồng Mai ),tôi đã vồ ếch không biết bao nhiêu lần ,trầy xước hết đầu gối chỉ vì đường xấu nhiều ổ gà ,đường ray tàu nổi gồ lên và xe đạp bị trượt bánh . Từ cuối năm 1989 đến đầu năm 1990 ,sau gần 90 năm hoạt động ,đường ray tàu điện bị dỡ bỏ và từ tàu điện bánh sắt người ta chuyển sang bánh hơi ,được vài năm sau thì xe điện bánh hơi cũng không còn tồn tại nữa .Và chẳng hiểu sao tôi cũng không hào hứng và nhớ mãi như tàu điện bánh sắt thời ấy. Thời gian trôi qua ,đã có nhiều phương tiện giao thông văn minh ,tiện lợi hơn nhưng mỗi khi nhớ về Hà Nội ,người ta lại cứ nhắc tới những chiếc tàu điện như một huyền thoại xa xưa với tiếng leng keng đi về khuya sớm . Tàu điện bánh sắt - Một thời để nhớ ...",30,29,,,,,1,Bình luậ,2451614424953774,/story.php?story_fbid=2451614424953774&id=385889054859665
danviet.vn,,2019-10-10 17:30:00,"Nghe tiếng hét lớn của ông T. ở trong nhà vệ sinh, mọi người chạy vào kiểm tra thì phát hiện người này nằm bất động.",35,25,,,6,4,,Bình luậ,2452540204861196,/story.php?story_fbid=2452540204861196&id=385889054859665
danviet.vn,,2019-10-10 17:05:00,có vé cái là có giá ngay,13,9,4,,,,,Bình luậ,2452530051528878,/story.php?story_fbid=2452530051528878&id=385889054859665
danviet.vn,,2019-10-10 16:31:07,"Đương kim Hoa hậu Hoàn vũ Việt Nam xuất hiện trên thảm đỏ với bộ trang phục mang phong cách cổ điển, sang trọng, khiến mọi người không thể rời mắt.",17,17,,,,,,1 bình luậ,2452500328198517,/story.php?story_fbid=2452500328198517&id=385889054859665
danviet.vn,,2019-10-10 16:30:00,Sinh ra làm cung thủ nhưng lại bị bắt đi bắt cá :D Nguồn: St,20,18,1,,1,,,Bình luậ,2442852599163290,/story.php?story_fbid=2442852599163290&id=385889054859665
danviet.vn,,2019-10-10 15:28:48,"CÒN BẠN, BẠN DỰ ĐOÁN KẾT QUẢ NHƯ THẾ NÀO?",11,11,,,,,,Bình luậ,2452368058211744,/story.php?story_fbid=2452368058211744&id=385889054859665
danviet.vn,,2019-10-10 15:18:17,"< CỔ ĐỘNG VIỆN MALAYSIA DIỄU HÀNH TẠI HÀ NỘI > Ngay lúc này Tại 125 Phùng Hưng (Hà Nội), nước bạn Malaysia đang diễu hành cổ vũ cho đội tuyển rất khí thế!!! Nguồn: BEAT",28,21,7,,,,,8 bình luậ,2452347844880432,/story.php?story_fbid=2452347844880432&id=385889054859665
danviet.vn,,2019-10-10 14:46:07,"“Huyện với tỉnh đã làm như vậy rồi à? Mấy hôm nay, tôi bị ốm phải nằm viện truyền. Tôi cũng không biết các sở đề xuất như thế nào. Tôi thì tôi không đồng ý”.",38,28,8,,,2,,8 bình luậ,2452284888220061,/story.php?story_fbid=2452284888220061&id=385889054859665
danviet.vn,,2019-10-10 14:45:00,"CHÀO MỪNG NGÀY GIẢI PHÓNG THỦ ĐÔ 10 -10    Sự Kỳ Lạ Của Ca Khúc TIẾN VỀ HÀ NỘI của Nhạc sỹ Văn Cao    Một điều KỲ LẠ là ca khúc Tiến về Hà Nội của Nhạc sĩ Văn Cao được sáng tác vào năm 1949 - Trước 5 năm khi Hà Nội hoàn toàn được giải phóng.    Theo nhiều nhạc sĩ thì Tiến về Hà Nội được xem như một bài hát mang tính dự báo về ngày Giải phóng Thủ đô nhưng lại trùng khớp một cách kỳ lạ với những gì đã diễn ra sau đó.    Tháng 10/1954, Hà Nội đón những đoàn quân từ chiến khu Việt Bắc về tiếp quản “đúng như in” với những gì vị nhạc sĩ tài ba đã hình dung:    “Trùng trùng quân đi như sóng/Lớp lớp đoàn quân tiến về/Chúng ta đi nghe vui lúc quân thù đầu hàng, cờ ngày nào tung bay trên phố…/Năm cửa ô đón mừng đoàn quân tiến về/Như đài hoa đón mừng nở năm cánh đào…”.    NHẠC SỸ VĂN CAO CHIA SẺ:    “Tối hôm ấy, tôi đã cùng ăn cơm với anh Lê Quang Đạo. Anh Đạo đã nắm chặt tay tôi và nói: nếu cậu yêu Hà Nội, nhớ Hà Nội thì hãy sáng tác cho Hà Nội một bài hát vừa hùng tráng vừa trữ tình nhé!"".    Khi anh Đạo tiễn tôi ra về, anh đã khoác tay tôi đi trên đường làng một quãng dài, anh thủ thỉ nói với tôi ""Khẩu hiệu của Trung ương là tất cả cho tổng phản công nhưng nếu có một bài hát cho Hà Nội đầy tình cảm cũng là mơ ước của những người dân thủ đô đấy"".    Đêm hôm ấy tôi ra về, đi dọc đường làng trăng sáng lung linh bên những bụi tre xanh và những nét nhạc đầu tiên của bài Tiến về Hà Nội đã đến với tôi, ""Trùng trùng quân đi như sóng. Lớp lớp đoàn quân tiến về...""    Nếu ca khúc Người Hà Nội là lời thề son sắt buổi lên đường thì Tiến về Hà Nội là lời reo vui của ngày chiến thắng.   Bài hát được viết theo thể loại hành khúc đem lại không khí sôi nổi đầy khí thế, nghe trong câu hát có nhịp chân hành quân gấp gáp đầy kiêu hãnh, xôn xao, hạnh phúc giữa cả rừng cờ hoa chào đón hân hoan.    Nhạc sĩ Huy Hoàng: ""Tiến về Hà Nội là một lời tiên đoán lịch sử thật chính xác. Đây một tác phẩm âm nhạc xuất sắc”    Ca khúc đã được hát vang trên những con đường Hà Nội trong ngày giải phóng 10 tháng 10.    Tiến về Hà Nội vẫn tràn sức sống cho tới tận ngày nay, bởi nó mang lại cho người nghe một cảm giác lạc quan tin tưởng và hạnh phúc khó tả.    Âm thanh của ca khúc vẫn thường xuyên vang lên, đặc biệt là trong dịp kỷ niệm ngày giải phóng Thủ đô.    Tiến về Hà Nội đã và mãi mãi là khúc ca khải hoàn của người Hà Nội, của dân tộc trong ngày vui, ngày kỷ niệm chiến thắng:    “Khi đoàn quân tiến về là đêm tan dần/ Như mùa xuân xuống cành đường nghe gió về, Hà Nội bừng “Tiến quân ca"".    Bài hát khép lại và như mở ra trong lòng mỗi người âm hưởng của ""Tiến quân ca” hùng tráng. BÀI VÀ ẢNH: SƯU TẦM",24,23,1,,,,,1 bình luậ,2451627731619110,/story.php?story_fbid=2451627731619110&id=385889054859665
danviet.vn,,2019-10-10 13:59:51,Bí thư ơi là bí thư,51,34,16,,1,,,7 bình luậ,2452192994895917,/story.php?story_fbid=2452192994895917&id=385889054859665
