source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Let's Viet TV,,2019-09-10 12:35:09,"NHÀ THỜ TỔ 100 TỶ của danh hài Hoài Linh ""trang hoàng lộng lẫy"" trong ngày giỗ Tổ nghề sân khấu Cứ gần đến ngày 12/8 âm lịch - ngày giỗ Tổ sân khấu, nhà thờ tổ 100 tỷ của danh hài Hoài Linh được trang hoàng lộng lẫy chào đón các nghệ sỹ Việt tụ về dâng hương cho Tổ nghiệp.....còn cho khách thập phương tham quan tự do nữa nè Địa chỉ: Đường Số 5, Long Phước, Quận 9, Hồ Chí Minh",435,412,1,18,3,,1,11 bình luậ,10156449028406475,/story.php?story_fbid=10156449028406475&id=146742116474
Let's Viet TV,,2019-09-10 11:30:13,Khẩu nghiệp với bà hả mày 💪💪,159,148,10,1,,,,7 bình luậ,10156447010406475,/story.php?story_fbid=10156447010406475&id=146742116474
Let's Viet TV,,2019-09-10 09:00:01,"Mới đây nhất, trên trang cá nhân nghệ sĩ hài Thúy Nga vừa đăng tải loạt hình ảnh mình tổ chức lễ giỗ Tổ nghiệp tại nhà riêng.  Theo đó, cô đã gửi lời mời đến các đồng nghiệp để mọi người đến tham dự, dâng hương lên các bậc tiền bối. Cô tâm sự: ""Thuý Nga xin gửi lời cám ơn đến thầy, các cô chú, anh chị bạn bè đồng nghiệp hôm nay đã đến nhà của Thúy Nga dự buổi dâng hương lên ban thờ Tổ nghiệp. Xin cầu nguyện cho tất cả những người làm công việc nghệ thuật luôn được đi theo nghiệp Tổ, được công chúng khán giả yêu thương và luôn được toả sáng thành công trong lãnh vực nghề nghiệp của mình đã chọn. Hình nhiều lắm xin gửi trước 1 ít cho mọi người nhé"".",28,27,,1,,,,1 bình luậ,10156447153746475,/story.php?story_fbid=10156447153746475&id=146742116474
Let's Viet TV,,2019-09-09 20:00:45,Còn xanh và non lắm con à 😈😈,56,53,,3,,,,Bình luậ,10156441317026475,/story.php?story_fbid=10156441317026475&id=146742116474
Let's Viet TV,,2019-09-09 11:30:51,Chế chơi hết mình làm em hết hồn 😨😨,56,53,1,2,,,,1 bình luậ,10156447009946475,/story.php?story_fbid=10156447009946475&id=146742116474
Let's Viet TV,,2019-09-09 10:23:57,"Luôn tự tin vào bản thân, cô diễn viên trẻ này đang ấp ủ ước mơ được sống trọn vẹn tuổi đôi mươi như mình mong muốn",9,9,,,,,,Bình luậ,10156446974461475,/story.php?story_fbid=10156446974461475&id=146742116474
Let's Viet TV,,2019-09-08 20:00:28,Hú hồn nè 🤣🤣,66,63,3,,,,,1 bình luậ,10156441316766475,/story.php?story_fbid=10156441316766475&id=146742116474
Let's Viet TV,,2019-09-07 20:00:07,Cha đạo diễn kỳ à 😈😈,"1,4K","1,3K",35,40,4,3,3,38 bình luậ,10156441316256475,/story.php?story_fbid=10156441316256475&id=146742116474
Let's Viet TV,,2019-09-07 14:00:01,"Quốc Thuận hẹn tôi vào buổi trưa tại một quán cà phê vỉa hè ở Sài Gòn ngay gần chỗ tôi làm. Anh không muốn tôi phải chạy ra ngoài giữa trời nắng nóng. Đúng giờ hẹn, anh xuất hiện giản dị với quần sooc, áo thun và chiếc nón lưỡi trai rất đặc trưng. Cuộc trò chuyện của chúng tôi chỉ xoay quanh 1 chủ đề - dự án để đời ""Cha con nhà Bin"" mà anh chuẩn bị casting.",13,13,,,,,,Bình luậ,10156440704271475,/story.php?story_fbid=10156440704271475&id=146742116474
Let's Viet TV,,2019-09-07 10:00:01,"Bất kể ở đâu, lúc nào, làm gì, mỗi lần họ chạm mặt là có đại chiến xảy ra. Họ là ai?",4,4,,,,,,Bình luậ,10156440701971475,/story.php?story_fbid=10156440701971475&id=146742116474
Let's Viet TV,,2019-09-06 20:00:58,Đừng nói anh ngốc... vì anh thương em thôi ❤️❤️,17K,15K,1K,674,65,87,54,621 bình luậ,10156434717936475,/story.php?story_fbid=10156434717936475&id=146742116474
Let's Viet TV,,2019-09-06 14:32:29,"Chia sẻ với phóng viên ngay tại trường quay bộ phim truyền hình “Con gái ông trùm” (kênh ANTV), nghệ sĩ Hai Nhất cho biết anh đang đứng trước một thử thách. Công chúng từng biết đến một Hai Nhất thành công trong vai trùm xã hội đen mang tên Bảy Xoài (phim “Những đứa con biệt động Sài Gòn”), nhận được giải thưởng “Diễn viên xuất sắc” tại Liên hoan truyền hình toàn quốc năm 2011, rồi hàng loạt vai ông trùm khác trong phim “Kẻ hai mặt”, “Tiếng cú đêm”… Bởi vậy, khi tiếp tục vào vai ông trùm có cô con gái làm công an trong phim “Cô gái ông trùm”, quả thực là một thách đố để Hai Nhất có thể tìm kiếm thêm một thành công khác.",20,20,,,,,,2 bình luậ,10156440664446475,/story.php?story_fbid=10156440664446475&id=146742116474
Let's Viet TV,,2019-09-06 11:30:20,Chú cháu gì ba cái lúc này 🍺🍺,32,28,3,1,,,,Bình luậ,10156438595206475,/story.php?story_fbid=10156438595206475&id=146742116474
Let's Viet TV,,2019-09-06 10:42:09,"Diện váy ngắn và áo trắng, tóc cột 2 chùm,... Kha Ly khiến nhiều khán giả và ông xã nhận không ra.",19,19,,,,,,Bình luậ,10156440462001475,/story.php?story_fbid=10156440462001475&id=146742116474
Let's Viet TV,,2019-09-05 20:00:04,Xấu mà đóng vai ác nào có sai 😏😏,33,31,,2,,,,Bình luậ,10156422709196475,/story.php?story_fbid=10156422709196475&id=146742116474
Let's Viet TV,,2019-09-05 11:30:22,Kiếm một mớ về nhà đi thả thính thôi 😝😝,492,472,9,11,,,,8 bình luậ,10156438555731475,/story.php?story_fbid=10156438555731475&id=146742116474
Let's Viet TV,,2019-09-05 09:31:19,"Chiều ngày 29/8 vừa qua, Bộ Văn hóa - Thể thao và Du lịch long trọng tổ chức Lễ Trao Tặng Danh Hiệu Nghệ sĩ nhân dân (NSND), Nghệ sĩ ưu tú (NSƯT) lần thứ 9 năm 2019 cho 391 nghệ sĩ đã có nhiều cống hiến trong sự nghiệp xây dựng và phát triển văn hóa, nghệ thuật dân tộc. Sự kiện được tổ chức tại Nhà Hát Lớn Hà Nội. Với 84 nghệ sĩ được phong tặng NSND và 307 nghệ sĩ được phong tặng NSUT.",6,6,,,,,,3 bình luậ,10156438431811475,/story.php?story_fbid=10156438431811475&id=146742116474
Let's Viet TV,,2019-09-04 20:00:02,Hoa hồng nào mà chẳng có gai 🌹🌹,112,107,3,2,,,,2 bình luậ,10156422696071475,/story.php?story_fbid=10156422696071475&id=146742116474
Let's Viet TV,,2019-09-04 12:00:06,Là hoạ thì sao mà tránh 😨😨,"2,6K","2,4K",35,68,12,3,5,146 bình luậ,10156436455701475,/story.php?story_fbid=10156436455701475&id=146742116474
Let's Viet TV,,2019-09-04 08:15:07,"Từng rất thành công với những vai phản diện, diễn viên Hai Nhất tiếp tục đảm nhận vai ông trùm trong bộ phim Con gái ông trùm dự kiến phát sóng vào tháng 11 tới đây",5,5,,,,,,Bình luậ,10156436188916475,/story.php?story_fbid=10156436188916475&id=146742116474
Let's Viet TV,,2019-09-03 20:00:27,Giống má nhất khâu bào tiền đó 😁😁,519,487,17,15,,,,2 bình luậ,10156422695781475,/story.php?story_fbid=10156422695781475&id=146742116474
Let's Viet TV,,2019-09-03 09:04:41,"Phim có sự góp mặt của nhiều diễn viên nổi tiếng như NSƯT Thanh Nam, NSƯT Diệu Đức, Cao Minh Đạt, Nhật Kim Anh, Hứa Minh Đạt, Cao Thái Hà, Lê Bê La, Khương Thịnh, Quách Ngọc Tuyên, Thảo Trang, Bạch Công Khanh... Nhân dịp này, phóng viên đã có cuộc phỏng vấn nhanh với ""soái ca"" chuyên đóng vai ác trên màn ảnh: Cao Minh Đạt.",11,11,,,,,,Bình luậ,10156434286061475,/story.php?story_fbid=10156434286061475&id=146742116474
Let's Viet TV,,2019-09-02 20:00:33,Ế lâu...ế bền vững là đây rồi 🤣🤣,20,18,1,1,,,,Bình luậ,10156422684451475,/story.php?story_fbid=10156422684451475&id=146742116474
Let's Viet TV,,2019-09-01 20:00:14,Dạ em hiểu rồi chị 😓😓,7K,"6,4K",337,182,22,21,27,480 bình luậ,10156420724626475,/story.php?story_fbid=10156420724626475&id=146742116474
Let's Viet TV,,2019-08-31 20:00:27,Mình anh cân hết nhé 💪💪,"7,3K",7K,121,188,21,13,14,79 bình luậ,10156418537311475,/story.php?story_fbid=10156418537311475&id=146742116474
Let's Viet TV,,2019-08-30 21:53:56,Tình anh em chắc có bền lâu 👊👊,"3,2K","3,1K",37,81,11,9,11,51 bình luậ,10156418526526475,/story.php?story_fbid=10156418526526475&id=146742116474
Let's Viet TV,,2019-08-30 10:02:57,"Nữ diễn viên Kha Ly tiết lộ, sau 3 năm kết hôn, ông xã Thanh Duy không hề thay đổi tính tình, thậm chí còn yêu vợ hơn trước đây. Ở nhà, Thanh Duy thoải mái vào bếp hoặc rửa bát cho vợ. Anh còn thích thú với việc ăn Tết bên nhà ngoại.",20,20,,,,,,Bình luậ,10156426385131475,/story.php?story_fbid=10156426385131475&id=146742116474
Let's Viet TV,,2019-08-29 20:00:06,"Trách ai bây giờ, trách mình thôi 😞😞","3,5K","3,3K",42,93,10,11,10,52 bình luậ,10156418492581475,/story.php?story_fbid=10156418492581475&id=146742116474
Let's Viet TV,,2019-08-29 14:24:09,"Bộ Phim ""Tiếng Sét Trong Mưa"" chuyển thể từ kịch bản ""Lôi Vũ"" Đạo diễn : Nguyen Phuong Dien Phim do MegaGS sản xuất  Phát sóng trên kênh THV1 lúc 20h từ T2 - T7. Bắt đầu từ ngày 2/9/2019 Cả nhà hãy đón xem để lạc vào một khung trời mới đầy bi kịch nhé.",12,12,,,,,,Bình luậ,10156424593661475,/story.php?story_fbid=10156424593661475&id=146742116474
Let's Viet TV,,2019-08-29 08:56:30,"Ngày 21/6, bộ phim ""Dzìa đi tía ơi"" do Quốc Thuận đạo diễn sẽ chính thức được phát sóng trên đài SCTV14. Bộ phim có dàn diễn viên hùng hậu như NSƯT Thanh Nam, NSƯT Công Ninh, Thanh Hằng, Lan Ngọc, Huỳnh Đông, Huy Cường, Lê Lộc, Thanh Tân, Đại Ngọc Trâm...  Nhưng trước đó, ít ai biết rằng, để được phát sóng, bộ phim và đạo diễn đã có một ""số phận"" rất cay đắng, 3 chìm 7 nổi. Đạo diễn Quốc Thuận đã có những phút trải lòng thẳng thắn xung quanh câu chuyện này.",21,21,,,,,,Bình luậ,10156424222096475,/story.php?story_fbid=10156424222096475&id=146742116474
Let's Viet TV,,2019-08-28 09:20:57,"Lương Thanh đang được chú ý trong Hoa Hồng Trên Ngực Trái, Quỳnh Nga và Băng Di cũng là hai diễn viên rất thành công khi làm người thứ ba.",12,12,,,,,,Bình luậ,10156422264426475,/story.php?story_fbid=10156422264426475&id=146742116474
Let's Viet TV,,2019-08-27 20:00:37,Hồng trần đưa đường chỉ lối cho đôi mình,25,25,,,,,,4 bình luậ,10156418355571475,/story.php?story_fbid=10156418355571475&id=146742116474
Let's Viet TV,,2019-08-27 13:00:00,"Nữ diễn viên Mai Thanh Hà ngày càng được yêu thích bởi hình ảnh của một người đẹp đa năng, tràn đầy năng lượng và âm thầm trong những dự án phim của mình. Cô được công chúng yêu mến với danh xưng “ngọc nữ” cùng những hình ảnh nhẹ nhàng, cuốn hút. Còn Trần Minh – một diễn viên gắn bó hơn 10 năm với nghiệp diễn và để lại nhiều ấn tượng trong lòng quý vị khán giả qua vai diễn Hai Quý trong “Những Đứa Con Biệt Động Sài Gòn”.",6,6,,,,,,Bình luậ,10156418499711475,/story.php?story_fbid=10156418499711475&id=146742116474
Let's Viet TV,,2019-08-27 08:00:01,"Cô gái tài năng trẻ tuổi chuyên cho dòng phim Điện Ảnh kinh dị, gần đây nhất cô được đạo diễn Bá Vũ mời vào vai thứ chính trong phim Điện ảnh ""Ngủ với hồn ma"".",8,8,,,,,,Bình luậ,10156418486591475,/story.php?story_fbid=10156418486591475&id=146742116474
Let's Viet TV,,2019-08-26 20:00:54,Thằng nào làm thằng đó chịu trách nhiệm 💪💪,17K,16K,312,629,70,43,59,661 bình luậ,10156418347426475,/story.php?story_fbid=10156418347426475&id=146742116474
Let's Viet TV,,2019-08-26 16:44:22,"Dự Án “” do ”Công Ty Cổ Phần Truyền Thông Lets Viet”  chủ quản chính thức hoạt động:  “Từ trước đến nay văn nghệ sĩ có đóng góp đáng trân trọng cho sự phát triển của đất nước, đến nay vẫn chưa có nơi nào đảm bảo quyền lợi; chăm lo đời sống của họ khi về già.  Nay chúng tôi muốn xây dựng ngôi nhà chung cho văn nghệ sĩ, được minh bạch và quản lý trên nền tảng công nghệ hiện đại, ghi nhận đóng góp, cất giữ các thành quả lao động nghệ thuật và khai thác sử dụng các thành quả đó có lợi nhất cho văn nghệ sĩ; tạo nên quỹ chăm lo đời sống cho văn nghệ sĩ gặp khó khăn và đã nghỉ hưu.”",19,19,,,,,,21 bình luậ,10156418509391475,/letsvietvn/photos/a.10150569516276475/10156418509391475
